ep-54v-150w-1.2.0.968149, ep-54v-150w-1.1.0.3179

uap-3.8.3.6587, uap-3.7.58.6385

uap-3.9.3.7537, uap-3.8.14.6780

uap-ac-lite-3.8.3.6587, uap-ac-lite-3.7.58.6385

uap-ac-lite-3.9.3.7537, uap-ac-lite-3.8.14.6780

uap-ac-lr-3.8.3.6587, uap-ac-lr-3.7.58.6385

uap-ac-lr-3.9.3.7537, uap-ac-lr-3.8.14.6780

uap-ac-m-3.8.3.6587, uap-ac-m-3.7.58.6385

uap-ac-m-3.9.3.7537, uap-ac-m-3.8.6.6650

uap-ac-m-pro-3.9.54.9373, uap-ac-m-pro-3.8.14.6780

uap-ac-pro-3.8.3.6587, uap-ac-pro-3.7.58.6385

uap-ac-pro-3.9.3.7537, uap-ac-pro-3.8.14.6780

uap-outdoor-3.8.3.6587, uap-outdoor-3.7.58.6385

uap-outdoor-3.9.19.8123, uap-outdoor-3.8.3.6587

uaphd-3.9.3.7537, uaphd-3.8.10.7161

uapoutdoor-3.8.6.6650, uapoutdoor-3.7.58.6385

uapoutdoor-3.9.3.7537, uapoutdoor-3.8.6.6650

uapoutdoor5-3.9.3.7537, uapoutdoor5-3.7.58.6385

ubiquiti-acb-isp-2.8.0.19, ubiquiti-acb-isp-2.7.1

ubiquiti-af-2x-4.1.0, ubiquiti-af-2x-4.0.5

ubiquiti-af-3x-4.1.0, ubiquiti-af-3x-4.0.5

ubiquiti-af24hd-3.3.3, ubiquiti-af24hd-3.2.3

ubiquiti-af24hd-4.1.0, ubiquiti-af24hd-4.0.5

ubiquiti-af5u-2.1.22463.140530, ubiquiti-af5u-2.0.21665.140328

ubiquiti-af5u-2.2.1, ubiquiti-af5u-2.1.22463.140530

ubiquiti-af5u-4.1.0, ubiquiti-af5u-4.0.5

ubiquiti-af5x-3.2.1, ubiquiti-af5x-3.0.2.1

ubiquiti-af5x-4.1.0, ubiquiti-af5x-4.0.5

ubiquiti-pbe-5ac-400-iso-8.4.0.35708, ubiquiti-pbe-5ac-400-iso-8.3.2.35333

ubiquiti-pbe-5ac-400-iso-8.5.0.36727, ubiquiti-pbe-5ac-400-iso-8.4.3.36160

ubiquiti-r2ac-prism-8.5.0.36727, ubiquiti-r2ac-prism-8.2.0.35239

ubiquiti-r5ac-prism-8.3.34573.170614, ubiquiti-r5ac-prism-8.1.4.34481

ubiquiti-r5ac-prism-8.4.0.35708, ubiquiti-r5ac-prism-8.3.2.35333

ubiquiti-r5ac-prism-8.5.0.36727, ubiquiti-r5ac-prism-8.4.3.36160

ubiquiti-uap-4.3.13.11253, ubiquiti-uap-4.0.80.10875

ubiquiti-uap-ac-m-4.3.13.11253, ubiquiti-uap-ac-m-4.0.80.10875

ubiquiti-uap-ac-m-pro-3.8.3.6587, ubiquiti-uap-ac-m-pro-3.7.58.6385

ubiquiti-uap-ac-m-pro-3.9.3.7537, ubiquiti-uap-ac-m-pro-3.8.6.6650

ubiquiti-uap-ac-m-pro-4.3.13.11253, ubiquiti-uap-ac-m-pro-4.0.80.10875

ubiquiti-uap-iw-3.8.3.6587, ubiquiti-uap-iw-3.7.58.6385

ubiquiti-uap-iw-3.9.3.7537, ubiquiti-uap-iw-3.8.14.6780

ubiquiti-uap-iw-4.3.13.11253, ubiquiti-uap-iw-4.0.80.10875

ubiquiti-uap-nanohd-4.3.13.11253, ubiquiti-uap-nanohd-4.0.80.10875

ubiquiti-uap-outdoor-4.3.13.11253, ubiquiti-uap-outdoor-4.0.80.10875

ubiquiti-uaplr-3.9.3.7537, ubiquiti-uaplr-3.8.14.6780

ubiquiti-uaplr-4.3.13.11253, ubiquiti-uaplr-4.0.80.10875

ubiquiti-uapoutdoor-3.9.15.8011, ubiquiti-uapoutdoor-3.8.14.6780

ubiquiti-uapoutdoor-4.3.13.11253, ubiquiti-uapoutdoor-4.0.80.10875

ubiquiti-uapoutdoor5-3.9.15.8011, ubiquiti-uapoutdoor5-3.8.14.6780

ubiquiti-uapoutdoor5-4.3.13.11253, ubiquiti-uapoutdoor5-4.0.80.10875

ubiquiti-uappro-3.8.3.6587, ubiquiti-uappro-3.7.58.6385

ubiquiti-uappro-3.9.19.8123, ubiquiti-uappro-3.8.14.6780

ubiquiti-uappro-4.3.13.11253, ubiquiti-uappro-4.0.80.10875

ubiquiti-uapshd-3.9.3.7537, ubiquiti-uapshd-3.8.10.7161

ubiquiti-uc-ck-1.1.0, ubiquiti-uc-ck-1.0.11.7

ubiquiti-uck-g2-1.1.0, ubiquiti-uck-g2-1.0.11.7

ubiquiti-uck-g2-2.1.7, ubiquiti-uck-g2-2.0.27

ubiquiti-uck-g2-2.2.10, ubiquiti-uck-g2-2.1.11

ubiquiti-uck-g2-plus-1.1.0, ubiquiti-uck-g2-plus-1.0.11.7

ubiquiti-uck-g2-plus-2.1.11, ubiquiti-uck-g2-plus-2.0.27

ubiquiti-uck-g2-plus-2.2.10, ubiquiti-uck-g2-plus-2.1.11

ubiquiti-us-48-500w-4.3.13.11253, ubiquiti-us-48-500w-4.0.80.10875

ubiquiti-us-48-750w-3.9.3.7537, ubiquiti-us-48-750w-3.8.6.6650

ubiquiti-us-48-750w-4.3.13.11253, ubiquiti-us-48-750w-4.0.80.10875

ubiquiti-us-8-4.3.13.11253, ubiquiti-us-8-4.0.80.10875

ubiquiti-us-l2-24-poe-4.3.13.11253, ubiquiti-us-l2-24-poe-4.0.80.10875

ubiquiti-us-l2-48-poe-4.3.13.11253, ubiquiti-us-l2-48-poe-4.0.80.10875

ubiquiti-us16xg-3.8.3.6587, ubiquiti-us16xg-3.7.58.6385

ubiquiti-us16xg-3.9.19.8123, ubiquiti-us16xg-3.8.6.6650

ubiquiti-us16xg-4.3.13.11253, ubiquiti-us16xg-4.0.80.10875

ubiquiti-uvc-g3-flex-4.4.6, ubiquiti-uvc-g3-flex-4.2.59

ubiquiti-uvc-g3-flex-4.8.40, ubiquiti-uvc-g3-flex-4.4.8

ubiquiti-uvc-g3-flex-4.10.12, ubiquiti-uvc-g3-flex-4.8.40

ubiquiti-uvc-g3-flex-4.13.33, ubiquiti-uvc-g3-flex-4.10.12

ubiquiti-uvc-g3-flex-4.14.14, ubiquiti-uvc-g3-flex-4.13.40

ubiquiti-uvc-g3-flex-4.18.37, ubiquiti-uvc-g3-flex-4.14.14

ubiquiti-uvc-g3-flex-4.22.13, ubiquiti-uvc-g3-flex-4.18.37

ubiquiti-uvc-g3-flex-4.23.8, ubiquiti-uvc-g3-flex-4.22.13

ubiquiti-uvc-g3-flex-4.30.0, ubiquiti-uvc-g3-flex-4.23.8

ubiquiti-uvc-g3-micro-4.2.59, ubiquiti-uvc-g3-micro-4.1.55

ubiquiti-uvc-g3-micro-4.4.6, ubiquiti-uvc-g3-micro-4.2.59

ubiquiti-uvc-g3-micro-4.8.40, ubiquiti-uvc-g3-micro-4.4.8

ubiquiti-uvc-g3-micro-4.10.12, ubiquiti-uvc-g3-micro-4.8.40

ubiquiti-uvc-g3-micro-4.13.33, ubiquiti-uvc-g3-micro-4.10.12

ubiquiti-uvc-g3-micro-4.14.14, ubiquiti-uvc-g3-micro-4.13.40

ubiquiti-uvc-g3-micro-4.18.37, ubiquiti-uvc-g3-micro-4.14.14

ubiquiti-uvc-g3-micro-4.22.13, ubiquiti-uvc-g3-micro-4.18.37

ubiquiti-uvc-g3-micro-4.23.8, ubiquiti-uvc-g3-micro-4.22.13

ubiquiti-uvc-g3-micro-4.30.0, ubiquiti-uvc-g3-micro-4.23.8

ubiquiti-uvc-g3-pro-4.2.13, ubiquiti-uvc-g3-pro-4.1.55

ubiquiti-uvc-g3-pro-4.14.14, ubiquiti-uvc-g3-pro-4.2.13

ubiquiti-uvc-g3-pro-4.18.37, ubiquiti-uvc-g3-pro-4.14.14

ubiquiti-uvc-g3-pro-4.22.13, ubiquiti-uvc-g3-pro-4.18.37

ubiquiti-uvc-g3-pro-4.23.8, ubiquiti-uvc-g3-pro-4.22.13

ubiquiti-uvc-g3-pro-4.30.0, ubiquiti-uvc-g3-pro-4.23.8

ubiquiti-uvc-micro-4.18.37, ubiquiti-uvc-micro-4.14.14

ubiquiti-uvc-micro-4.22.13, ubiquiti-uvc-micro-4.18.37

ubiquiti-uvc-micro-4.23.8, ubiquiti-uvc-micro-4.22.13

ubiquiti-uvc-pro-4.2.13, ubiquiti-uvc-pro-4.1.55

ubiquiti-uvc-pro-4.4.7, ubiquiti-uvc-pro-4.2.59

ubiquiti-uvc-pro-4.8.40, ubiquiti-uvc-pro-4.4.8

ubiquiti-uvc-pro-4.10.12, ubiquiti-uvc-pro-4.8.40

ubiquiti-uvc-pro-4.13.40, ubiquiti-uvc-pro-4.10.12

ubiquiti-uvc-pro-4.14.14, ubiquiti-uvc-pro-4.13.40

ubiquiti-uvc-pro-4.18.37, ubiquiti-uvc-pro-4.14.14

ubiquiti-uvc-pro-4.22.13, ubiquiti-uvc-pro-4.18.37

ubiquiti-uvc-pro-4.23.8, ubiquiti-uvc-pro-4.22.13

ubiquiti-uvc-pro-4.30.0, ubiquiti-uvc-pro-4.23.8

ubiquiti-uwbxgbk-4.3.13.11253, ubiquiti-uwbxgbk-4.0.80.10875

uc-ck-0.10.0, uc-ck-0.8.10

uc-ck-0.11.4, uc-ck-0.10.1.417

uc-ck-0.13.2.3, uc-ck-0.12.4.99

uck-g2-0.9.2.7, uck-g2-0.8.12.61

us-24-250w-3.8.3.6587, us-24-250w-3.7.58.6385

us-24-250w-3.9.3.7537, us-24-250w-3.8.6.6650

us-24-500w-3.8.3.6587, us-24-500w-3.7.58.6385

us-24-500w-3.9.3.7537, us-24-500w-3.8.6.6650

us-48-500w-3.8.3.6587, us-48-500w-3.7.58.6385

us-48-500w-3.9.3.7537, us-48-500w-3.8.6.6650

us-8-3.9.54.9373, us-8-3.8.6.6650

uvc-3.8.3, uvc-3.5.2.63

uvc-4.2.13, uvc-4.1.55

uvc-4.8.40, uvc-4.2.59

uvc-4.10.12, uvc-4.8.40

uvc-4.13.40, uvc-4.10.12

uvc-g3-4.2.13, uvc-g3-4.1.55

