dataset,product,version,date,url,rootfs_path,notes
benign,ubiquiti-acb-isp,2.7.1,2020-03-25,https://www.ui.com/downloads/firmwares/airCube/v2.7.1/ACB.ar934x.v2.7.1.b0839ff.200324.1101.bin,targets/benign/ubiquiti-acb-isp/2.7.1/rootfs,planned (no download)
benign,ubiquiti-acb-isp,1344.210726.1457,2021-10-08,https://www.ui.com/downloads/firmwares/airCube/v2.8.3/ACB.ar934x.v2.8.3.f1a1344.210726.1457.bin,targets/benign/ubiquiti-acb-isp/1344.210726.1457/rootfs,planned (no download)
benign,ubiquiti-acb-isp,2.8.2.21,2021-04-21,https://www.ui.com/downloads/firmwares/airCube/v2.8.2/ACB.ar934x.v2.8.2.21e8bbf.210415.1015.bin,targets/benign/ubiquiti-acb-isp/2.8.2.21/rootfs,planned (no download)
benign,ubiquiti-acb-isp,6.200212.1712,2020-02-19,https://www.ui.com/downloads/firmwares/airCube/v2.7.0/ACB.ar934x.v2.7.0.0824dd6.200212.1712.bin,targets/benign/ubiquiti-acb-isp/6.200212.1712/rootfs,planned (no download)
benign,ubiquiti-acb-isp,2.8.0.19,2021-03-03,https://www.ui.com/downloads/firmwares/airCube/v2.8.0/ACB.ar934x.v2.8.0.19ccf2b.210219.1426.bin,targets/benign/ubiquiti-acb-isp/2.8.0.19/rootfs,planned (no download)
benign,ubiquiti-acb-isp,73.191217.1539,2019-12-17,https://www.ui.com/downloads/firmwares/airCube/v2.6.2/ACB.ar934x.v2.6.2.697ea73.191217.1539.bin,targets/benign/ubiquiti-acb-isp/73.191217.1539/rootfs,planned (no download)
benign,ubiquiti-acb-isp,9.191112.1638,2019-11-13,https://www.ui.com/downloads/firmwares/airCube/v2.6.1/ACB.ar934x.v2.6.1.93662e9.191112.1638.bin,targets/benign/ubiquiti-acb-isp/9.191112.1638/rootfs,planned (no download)
benign,ubiquiti-acb-isp,08.190827.1642,2019-08-29,https://www.ui.com/downloads/firmwares/airCube/v2.6.0/ACB.ar934x.v2.6.0.9469b08.190827.1642.bin,targets/benign/ubiquiti-acb-isp/08.190827.1642/rootfs,planned (no download)
benign,ubiquiti-acb-isp,1.190322.0941,2019-03-24,https://www.ui.com/downloads/firmwares/airCube/v2.4.3/ACB.ar934x.v2.4.3.8b93de1.190322.0941.bin,targets/benign/ubiquiti-acb-isp/1.190322.0941/rootfs,planned (no download)
benign,ubiquiti-acb-isp,2.0.1,2018-02-15,https://www.ui.com/downloads/firmwares/airCube/v2.0.1/ACB.ar934x.v2.0.1.cd8f71c.180215.1401.bin,targets/benign/ubiquiti-acb-isp/2.0.1/rootfs,planned (no download)
