product,prev_version,next_version,prev_rootfs,next_rootfs,version_scope,scope,scope_reason
af5u,2.2.25699.150105,2015-11-30,targets/benign/af5u/2.2.25699.150105/rootfs,targets/benign/af5u/2015-11-30/rootfs,unknown,other,dotted3+-fallback
af5x,2015-11-30,4.0.3,targets/benign/af5x/2015-11-30/rootfs,targets/benign/af5x/4.0.3/rootfs,unknown,other,dotted3+-fallback
aghp2g16,30572,31612__3,targets/benign/aghp2g16/30572/rootfs,targets/benign/aghp2g16/31612__3/rootfs,unknown,other,non-semver
aghp2g16,31612__3,31612,targets/benign/aghp2g16/31612__3/rootfs,targets/benign/aghp2g16/31612/rootfs,unknown,other,non-semver
aghp2g16,31612,31612__2,targets/benign/aghp2g16/31612/rootfs,targets/benign/aghp2g16/31612__2/rootfs,unknown,other,non-semver
aghp2g16,31612__2,31626,targets/benign/aghp2g16/31612__2/rootfs,targets/benign/aghp2g16/31626/rootfs,unknown,other,non-semver
aghp2g16,31626,31626__2,targets/benign/aghp2g16/31626/rootfs,targets/benign/aghp2g16/31626__2/rootfs,unknown,other,non-semver
aghp2g16,31626__2,31296,targets/benign/aghp2g16/31626__2/rootfs,targets/benign/aghp2g16/31296/rootfs,unknown,other,non-semver
aghp2g16,31296,31601,targets/benign/aghp2g16/31296/rootfs,targets/benign/aghp2g16/31601/rootfs,unknown,other,non-semver
aghp2g16,31601,31776,targets/benign/aghp2g16/31601/rootfs,targets/benign/aghp2g16/31776/rootfs,unknown,other,non-semver
aghp2g16,31776,31825,targets/benign/aghp2g16/31776/rootfs,targets/benign/aghp2g16/31825/rootfs,unknown,other,non-semver
aghp2g16,31825,31939,targets/benign/aghp2g16/31825/rootfs,targets/benign/aghp2g16/31939/rootfs,unknown,other,non-semver
aghp2g16,31939,32113,targets/benign/aghp2g16/31939/rootfs,targets/benign/aghp2g16/32113/rootfs,unknown,other,non-semver
aghp2g16,32113,32774,targets/benign/aghp2g16/32113/rootfs,targets/benign/aghp2g16/32774/rootfs,unknown,other,non-semver
aghp2g16,32774,32918,targets/benign/aghp2g16/32774/rootfs,targets/benign/aghp2g16/32918/rootfs,unknown,other,non-semver
aghp2g16,32918,32949,targets/benign/aghp2g16/32918/rootfs,targets/benign/aghp2g16/32949/rootfs,unknown,other,non-semver
aghp2g16,32949,33003,targets/benign/aghp2g16/32949/rootfs,targets/benign/aghp2g16/33003/rootfs,unknown,other,non-semver
aghp2g20,30572,31612,targets/benign/aghp2g20/30572/rootfs,targets/benign/aghp2g20/31612/rootfs,unknown,other,non-semver
aghp2g20,31612,31612__2,targets/benign/aghp2g20/31612/rootfs,targets/benign/aghp2g20/31612__2/rootfs,unknown,other,non-semver
aghp2g20,31612__2,31612__3,targets/benign/aghp2g20/31612__2/rootfs,targets/benign/aghp2g20/31612__3/rootfs,unknown,other,non-semver
aghp2g20,31612__3,31626,targets/benign/aghp2g20/31612__3/rootfs,targets/benign/aghp2g20/31626/rootfs,unknown,other,non-semver
aghp2g20,31626,31626__2,targets/benign/aghp2g20/31626/rootfs,targets/benign/aghp2g20/31626__2/rootfs,unknown,other,non-semver
aghp2g20,31626__2,31296,targets/benign/aghp2g20/31626__2/rootfs,targets/benign/aghp2g20/31296/rootfs,unknown,other,non-semver
aghp2g20,31296,31601,targets/benign/aghp2g20/31296/rootfs,targets/benign/aghp2g20/31601/rootfs,unknown,other,non-semver
aghp2g20,31601,31776,targets/benign/aghp2g20/31601/rootfs,targets/benign/aghp2g20/31776/rootfs,unknown,other,non-semver
aghp2g20,31776,31825,targets/benign/aghp2g20/31776/rootfs,targets/benign/aghp2g20/31825/rootfs,unknown,other,non-semver
aghp2g20,31825,31939,targets/benign/aghp2g20/31825/rootfs,targets/benign/aghp2g20/31939/rootfs,unknown,other,non-semver
