vendor,product,version,date,url
ubiquiti,acb-isp,unknown,3/25/20,https://www.ui.com/downloads/firmwares/airCube/v2.7.1/ACB.ar934x.v2.7.1.b0839ff.200324.1101.bin
ubiquiti,acb-isp,unknown,10/8/21,https://www.ui.com/downloads/firmwares/airCube/v2.8.3/ACB.ar934x.v2.8.3.f1a1344.210726.1457.bin
ubiquiti,acb-isp,unknown,4/21/21,https://www.ui.com/downloads/firmwares/airCube/v2.8.2/ACB.ar934x.v2.8.2.21e8bbf.210415.1015.bin
ubiquiti,acb-isp,unknown,2/19/20,https://www.ui.com/downloads/firmwares/airCube/v2.7.0/ACB.ar934x.v2.7.0.0824dd6.200212.1712.bin
ubiquiti,acb-isp,unknown,3/3/21,https://www.ui.com/downloads/firmwares/airCube/v2.8.0/ACB.ar934x.v2.8.0.19ccf2b.210219.1426.bin
ubiquiti,acb-isp,unknown,12/17/19,https://www.ui.com/downloads/firmwares/airCube/v2.6.2/ACB.ar934x.v2.6.2.697ea73.191217.1539.bin
ubiquiti,acb-isp,unknown,11/13/19,https://www.ui.com/downloads/firmwares/airCube/v2.6.1/ACB.ar934x.v2.6.1.93662e9.191112.1638.bin
ubiquiti,acb-isp,unknown,8/29/19,https://www.ui.com/downloads/firmwares/airCube/v2.6.0/ACB.ar934x.v2.6.0.9469b08.190827.1642.bin
ubiquiti,acb-isp,unknown,3/24/19,https://www.ui.com/downloads/firmwares/airCube/v2.4.3/ACB.ar934x.v2.4.3.8b93de1.190322.0941.bin
ubiquiti,acb-isp,unknown,2/15/18,https://www.ui.com/downloads/firmwares/airCube/v2.0.1/ACB.ar934x.v2.0.1.cd8f71c.180215.1401.bin
ubiquiti,acb-isp,unknown,5/22/19,https://www.ui.com/downloads/firmwares/airCube/v2.5.0/ACB.ar934x.v2.5.0.be3e459.190520.1449.bin
ubiquiti,acb-isp,unknown,2/21/19,https://www.ui.com/downloads/firmwares/airCube/v2.4.2/ACB.ar934x.v2.4.2.e9c4ddd.190221.1856.bin
ubiquiti,acb-isp,unknown,6/28/18,https://www.ui.com/downloads/firmwares/airCube/v2.3.1/ACB.ar934x.v2.3.1.65d0016.180626.1612.bin
ubiquiti,acb-isp,unknown,9/4/18,https://www.ui.com/downloads/firmwares/airCube/v2.4.0/ACB.ar934x.v2.4.0.cb22320.180904.1044.bin
ubiquiti,acb-isp,unknown,5/14/18,https://www.ui.com/downloads/firmwares/airCube/v2.2.0/ACB.ar934x.v2.2.0.01b3ee7.180507.1340.bin
ubiquiti,acb-isp,unknown,6/20/18,https://www.ui.com/downloads/firmwares/airCube/v2.3.0/ACB.ar934x.v2.3.0.4177c95.180614.1532.bin
ubiquiti,acb-isp,unknown,4/4/18,https://www.ui.com/downloads/firmwares/airCube/v2.1.0/ACB.ar934x.v2.1.0.decfe89.180404.1031.bin
ubiquiti,acb-isp,unknown,12/22/17,https://www.ui.com/downloads/firmwares/airCube/v1.1.2/ACB.ar934x.v1.1.2.1df584efad.171220.1334.bin
