vendor,product,version,date,url
ubiquiti,af5u,unknown,7/17/15,https://www.ui.com/downloads/firmwares/airfiber5/v2.2.1/AF05.v2.2.1.bin
ubiquiti,af5u,unknown,7/18/19,https://www.ui.com/downloads/firmwares/airfiber5/v4.0.4/AF5.v4.0.4.bin
ubiquiti,af5u,unknown,9/18/19,https://www.ui.com/downloads/firmwares/airfiber5/v4.0.5/AF5.v4.0.5.bin
ubiquiti,af5u,unknown,3/24/20,https://www.ui.com/downloads/firmwares/airfiber5/v4.1.0/AF5.v4.1.0.bin
ubiquiti,af5u,unknown,8/31/17,https://www.ui.com/downloads/firmwares/airfiber5/v4.0/AF5.v4.0.bin
ubiquiti,af5u,unknown,4/7/17,https://www.ui.com/downloads/firmwares/airfiber5/v3.2.3/AF5.v3.2.3.bin
ubiquiti,af5u,unknown,1/29/18,https://www.ui.com/downloads/firmwares/airfiber5/v4.0.3/AF5.v4.0.3.bin
ubiquiti,af5u,unknown,11/8/17,https://www.ui.com/downloads/firmwares/airfiber5/v4.0.2/AF5.v4.0.2.bin
ubiquiti,af5u,unknown,3/17/17,https://www.ui.com/downloads/firmwares/airfiber5/v3.2.2/AF5.v3.2.2.bin
ubiquiti,af5u,unknown,10/20/17,https://www.ui.com/downloads/firmwares/airfiber5/v4.0.1/AF5.v4.0.1.bin
ubiquiti,af5u,unknown,3/28/14,https://www.ui.com/downloads/firmwares/airfiber5/v2.0/AF02.v2.0.21665.140328.1406-nobootrom.bin
ubiquiti,af5u,unknown,5/30/14,https://www.ui.com/downloads/firmwares/airfiber5/v2.1/AF02.v2.1.22463.140530.1023-nobootrom.bin
others,af5u,unknown,1/7/15,https://www.ui.com/downloads/firmwares/airfiber5/v2.2/AF5.v2.2.25699.150105.1254-nobootrom.bin
others,af5u,unknown,11/30/15,https://www.ui.com/downloads/firmwares/airfiber5/v3.2/AF5.v3.2.bin
