vendor,product,version,date,url
ubiquiti,af5x,unknown,7/18/19,https://www.ui.com/downloads/firmwares/airfiber5X/v4.0.4/AF5X.v4.0.4.bin
ubiquiti,af5x,unknown,9/18/19,https://www.ui.com/downloads/firmwares/airfiber5X/v4.0.5/AF5X.v4.0.5.bin
ubiquiti,af5x,unknown,3/24/20,https://www.ui.com/downloads/firmwares/airfiber5X/v4.1.0/AF5X.v4.1.0.bin
ubiquiti,af5x,unknown,3/11/16,https://www.ui.com/downloads/firmwares/airfiber5X/v3.2.1/AF5X.v3.2.1.bin
ubiquiti,af5x,unknown,4/7/17,https://www.ui.com/downloads/firmwares/airfiber5X/v3.2.3/AF5X.v3.2.3.bin
ubiquiti,af5x,unknown,7/17/15,https://www.ui.com/downloads/firmwares/airfiber5X/v3.0.2.1/AF5X.v3.0.2.1.bin
ubiquiti,af5x,unknown,5/1/15,https://www.ui.com/downloads/firmwares/airfiber5X/v3.0.2/AF5X.v3.0.2.27315.150427.1625-nobootrom.bin
ubiquiti,af5x,unknown,3/17/17,https://www.ui.com/downloads/firmwares/airfiber5X/v3.2.2/AF5X.v3.2.2.bin
ubiquiti,af5x,unknown,4/2/15,https://www.ui.com/downloads/firmwares/airfiber5X/v3.0/AF5X.v3.0.27024.150402.1344-nobootrom.bin
others,af5x,unknown,11/30/15,https://www.ui.com/downloads/firmwares/airfiber5X/v3.2/AF5X.v3.2.bin
others,af5x,unknown,1/29/18,https://www.ui.com/downloads/firmwares/airfiber5X/v4.0.3/AF5X.v4.0.3.bin
