vendor,product,version,date,url
ubiquiti,ep-54v-150w,unknown,6/1/21,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.9.0/EP.v1.9.0.a67ced.210524.1407.bin
ubiquiti,ep-54v-150w,unknown,12/9/20,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.8.1/EP.v1.8.1.e103d4.201125.1511.bin
ubiquiti,ep-54v-150w,unknown,5/15/20,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.7.0/EP.v1.7.0.00de3a.200512.1214.bin
ubiquiti,ep-54v-150w,unknown,9/9/20,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.8.0/EP.v1.8.0.889e10.201001.0939.bin
ubiquiti,ep-54v-150w,unknown,9/26/19,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.5.0/EP.v1.5.0.5aff31.190923.0924.bin
ubiquiti,ep-54v-150w,unknown,1/28/20,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.6.0/EP.v1.6.0.155a94.200124.0843.bin
ubiquiti,ep-54v-150w,unknown,12/11/18,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.3.1/EP.v1.3.1.d307e2.181113.1412.bin
ubiquiti,ep-54v-150w,unknown,6/25/19,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.4.0/EP.v1.4.0.6e3de3.190619.1007.bin
others,ep-54v-150w,unknown,8/9/17,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.1.0/EP.v1.1.0.3179fa.170612.1415.bin
others,ep-54v-150w,unknown,6/11/18,https://www.ui.com/downloads/firmwares/edgemax/EdgePower/v1.2.0/EP.v1.2.0.968149.180607.0900.bin
