vendor,product,version,date,url
ubiquiti,litestation-m5,33033,7/5/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.2.0/XM.v6.2.0.33033.190703.1147.bin
ubiquiti,litestation-m5,31601,9/26/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.8/XM.v6.1.8.32774.180921.1533.bin
ubiquiti,litestation-m5,31939,10/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.2/XM.v6.1.2.31825.171017.1648.bin
ubiquiti,litestation-m5,33226,4/30/20,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.0/XM.v6.3.0.33226.200428.1849.bin
ubiquiti,litestation-m5,31631,5/4/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.4/XM.v6.0.4.30805.170505.1525.bin
ubiquiti,litestation-m5,32290,3/8/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.6/XM.v6.1.6.32290.180307.1650.bin
ubiquiti,litestation-m5,32555,5/25/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.7/XM.v6.1.7.32555.180523.1809.bin
ubiquiti,litestation-m5,33267,7/20/20,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.2/XM.v6.3.2.33267.200715.1657.bin
ubiquiti,litestation-m5,33315,7/9/21,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.4/XM.v6.3.4.33315.210708.1334.bin
ubiquiti,litestation-m5,33321,7/16/21,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.5/XM.v6.3.5.33321.210716.1345.bin
ubiquiti,litestation-m5,33330,8/19/21,https://www.ui.com/downloads/firmwares/XN-fw/v6.3.6/XM.v6.3.6.33330.210818.2001.bin
ubiquiti,litestation-m5,31939,3/29/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/XM.v6.0.3.30600.170329.1831.bin
ubiquiti,litestation-m5,31626,3/29/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.11/XM.v6.1.11.32949.190328.1126.bin
ubiquiti,litestation-m5,31626,1/11/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.9/XM.v6.1.9.32918.190108.1752.bin
ubiquiti,litestation-m5,31626,5/24/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.12/XM.v6.1.12.33003.190523.1323.bin
ubiquiti,litestation-m5,31626,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-cpu400.30572.170328.1107.bin
ubiquiti,litestation-m5,32113,9/7/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.6/XM.v6.0.6.31296.170704.2058.bin
ubiquiti,litestation-m5,32113,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign-cpu400.31612.170908.1458.bin
ubiquiti,litestation-m5,32113,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15.30572.170328.1107.bin
ubiquiti,litestation-m5,32113,10/13/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.1/XM.v6.1.1.31776.171010.0940.bin
ubiquiti,litestation-m5,32113,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign.31612.170908.1458.bin
ubiquiti,litestation-m5,31939,9/8/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.7/XM.v6.0.7.31601.170908.1247.bin
ubiquiti,litestation-m5,31939,1/19/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.4/XM.v6.1.4.32113.180112.0932.bin
others,litestation-m5,31939,11/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.3/XM.v6.1.3.31939.171117.1238.bin
others,litestation-m5,32113,1/19/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.4/XM.v6.1.4.32113.180112.0932.bin
others,litestation-m5,31626,3/29/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/XM.v6.0.3.30600.170329.1831.bin
others,litestation-m5,31825,10/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.2/XM.v6.1.2.31825.171017.1648.bin
others,litestation-m5,31612,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign-cpu400.31612.170908.1458.bin
others,litestation-m5,31612,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15.30572.170328.1107.bin
others,litestation-m5,31296,9/7/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.6/XM.v6.0.6.31296.170704.2058.bin
others,litestation-m5,32949,3/29/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.11/XM.v6.1.11.32949.190328.1126.bin
