vendor,product,version,date,url
others,m5,31939,11/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.3/XM.v6.1.3.31939.171117.1238.bin
others,m5,32113,1/19/18,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.4/XW.v6.1.4.32113.180112.0918.bin
others,m5,31612,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15.30572.170328.1107.bin
others,m5,31741,9/29/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.0/XW.v6.1.0.31741.170929.1213.bin
others,m5,31612,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign.31612.170908.1458.bin
others,m5,31776,10/13/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.1/XM.v6.1.1.31776.171010.0940.bin
others,m5,31612,3/28/17,https://www.ui.com/downloads/firmwares/XW-fw/v5.6.15/XW.v5.6.15-sign.31612.170908.1440.bin
others,m5,31612,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign-cpu400.31612.170908.1458.bin
others,m5,31626,3/30/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/XM.v6.0.3-sign.31626.170908.1602.bin
others,m5,31626,3/30/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.3/XW.v6.0.3-sign.31626.170908.1544.bin
others,m5,31296,9/7/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.6/XM.v6.0.6.31296.170704.2058.bin
others,m5,31296,7/5/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.6/XW.v6.0.6.31296.170704.2042.bin
others,m5,31939,11/17/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.3/XW.v6.1.3.31939.171117.1223.bin
others,m5,32113,1/19/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.4/XM.v6.1.4.32113.180112.0932.bin
others,m5,31601,9/8/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.7/XM.v6.0.7.31601.170908.1247.bin
others,m5,31626,3/29/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.3/XW.v6.0.3.30600.170329.1817.bin
others,m5,31825,10/17/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.2/XW.v6.1.2.31825.171017.1633.bin
others,m5,31601,9/8/17,https://www.ui.com/downloads/firmwares/XW-fw/v6.0.7/XW.v6.0.7.31601.170908.1232.bin
others,m5,31612,3/27/17,https://www.ui.com/downloads/firmwares/XW-fw/v5.6.15/XW.v5.6.15.30572.170328.1052.bin
others,m5,30572,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-cpu400.30572.170328.1107.bin
others,m5,32774,9/26/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.8/XM.v6.1.8.32774.180921.1533.bin
others,m5,32774,9/26/18,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.8/XW.v6.1.8.32774.180921.1518.bin
others,m5,32949,3/29/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.11/XM.v6.1.11.32949.190328.1126.bin
others,m5,32949,3/29/19,https://www.ui.com/downloads/firmwares/XW-fw/v6.1.11/XW.v6.1.11.32949.190328.1111.bin
