vendor,product,version,date,url
others,nbe-5ac-19,34573,6/16/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3/XC.v8.3.34573.170614.1550.bin
others,nbe-5ac-19,34976,7/28/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3.1/XC.v8.3.1.34976.170727.1739.bin
others,nbe-5ac-19,35333,9/1/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3.2/XC.v8.3.2.35333.170901.1549.bin
others,nbe-5ac-19,35930,10/17/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.2/XC.v8.4.2.35930.171017.1722.bin
others,nbe-5ac-19,33366,3/27/17,https://www.ui.com/downloads/firmwares/XC-fw/v7.2.5/XC.v7.2.5.33366.170328.1556.bin
others,nbe-5ac-19,34481,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.4/XC.v8.1.4.34481.170608.1728.bin
others,nbe-5ac-19,35794,10/6/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.1/XC.v8.4.1.35794.171006.1417.bin
others,nbe-5ac-19,32951,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.2/XC.v8.1.2.32951.170302.1642.bin
others,nbe-5ac-19,37936,5/25/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.4/XC.v8.5.4.37936.180524.1215.bin
others,nbe-5ac-19,38314,6/28/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.7/XC.v8.5.7.38314.180628.1037.bin
others,nbe-5ac-19,39842,1/11/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.11/XC.v8.5.11.39842.190109.1449.bin
others,nbe-5ac-19,40181,2/14/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.12/XC.v8.5.12.40181.190213.1104.bin
