vendor,product,version,date,url
ubiquiti,pbe-5ac-500-iso,40912,6/20/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.6.0/XC.v8.6.0.40912.190618.1927.bin
ubiquiti,pbe-5ac-500-iso,41152,8/8/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.6.1/XC.v8.6.1.41152.190802.1848.bin
ubiquiti,pbe-5ac-500-iso,42832,6/26/20,https://www.ui.com/downloads/firmwares/XC-fw/v8.7.1/XC.v8.7.1.42832.200623.1641.bin
ubiquiti,pbe-5ac-500-iso,42152,2/4/20,https://www.ui.com/downloads/firmwares/XC-fw/v8.7.0/XC.v8.7.0.42152.200203.1256.bin
ubiquiti,pbe-5ac-500-iso,45783,7/23/21,https://www.ui.com/downloads/firmwares/XC-fw/v8.7.5/XC.v8.7.5.45783.210720.1003.bin
ubiquiti,pbe-5ac-500-iso,45112,4/15/21,https://www.ui.com/downloads/firmwares/XC-fw/v8.7.4/XC.v8.7.4.45112.210415.1103.bin
ubiquiti,pbe-5ac-500-iso,33352,3/27/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.0.2/XC.v8.0.2.33352.170327.1907.bin
ubiquiti,pbe-5ac-500-iso,unknown,3/27/17,https://www.ui.com/downloads/firmwares/XC-fw/v7.2.5/XC.v7.2.5.33366.170328.1556.bin
others,pbe-5ac-500-iso,35794,10/6/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.1/XC.v8.4.1.35794.171006.1417.bin
others,pbe-5ac-500-iso,36727,1/18/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.0/XC.v8.5.0.36727.180118.1402.bin
others,pbe-5ac-500-iso,34573,6/16/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3/XC.v8.3.34573.170614.1550.bin
others,pbe-5ac-500-iso,35333,9/1/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3.2/XC.v8.3.2.35333.170901.1549.bin
others,pbe-5ac-500-iso,33366,3/27/17,https://www.ui.com/downloads/firmwares/XC-fw/v7.2.5/XC.v7.2.5.33366.170328.1556.bin
others,pbe-5ac-500-iso,34481,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.4/XC.v8.1.4.34481.170608.1728.bin
others,pbe-5ac-500-iso,35708,9/29/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.0/XC.v8.4.0.35708.170929.1512.bin
others,pbe-5ac-500-iso,32951,6/8/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.1.2/XC.v8.1.2.32951.170302.1642.bin
others,pbe-5ac-500-iso,37936,5/25/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.4/XC.v8.5.4.37936.180524.1215.bin
others,pbe-5ac-500-iso,38314,6/28/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.7/XC.v8.5.7.38314.180628.1037.bin
others,pbe-5ac-500-iso,38845,9/19/18,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.8/XC.v8.5.8.38845.180918.1016.bin
others,pbe-5ac-500-iso,40181,2/14/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.12/XC.v8.5.12.40181.190213.1104.bin
others,pbe-5ac-500-iso,39842,1/11/19,https://www.ui.com/downloads/firmwares/XC-fw/v8.5.11/XC.v8.5.11.39842.190109.1449.bin
others,pbe-5ac-500-iso,36160,11/17/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.3/XC.v8.4.3.36160.171117.1233.bin
others,pbe-5ac-500-iso,34976,7/28/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.3.1/XC.v8.3.1.34976.170727.1739.bin
others,pbe-5ac-500-iso,35930,10/17/17,https://www.ui.com/downloads/firmwares/XC-fw/v8.4.2/XC.v8.4.2.35930.171017.1722.bin
