vendor,product,version,date,url
others,picom2hp,33003,5/24/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.12/XM.v6.1.12.33003.190523.1323.bin
others,picom2hp,32949,3/29/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.11/XM.v6.1.11.32949.190328.1126.bin
others,picom2hp,32918,1/11/19,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.9/XM.v6.1.9.32918.190108.1752.bin
others,picom2hp,32774,9/26/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.8/XM.v6.1.8.32774.180921.1533.bin
others,picom2hp,30572,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-cpu400.30572.170328.1107.bin
others,picom2hp,31296,9/7/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.6/XM.v6.0.6.31296.170704.2058.bin
others,picom2hp,31626,3/30/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.0.3/XM.v6.0.3-sign.31626.170908.1602.bin
others,picom2hp,31612,3/28/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15-sign-cpu400.31612.170908.1458.bin
others,picom2hp,31776,10/13/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.1/XM.v6.1.1.31776.171010.0940.bin
others,picom2hp,31939,11/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.3/XM.v6.1.3.31939.171117.1238.bin
others,picom2hp,32290,3/8/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.6/XM.v6.1.6.32290.180307.1650.bin
others,picom2hp,32555,5/25/18,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.7/XM.v6.1.7.32555.180523.1809.bin
others,picom2hp,31825,10/17/17,https://www.ui.com/downloads/firmwares/XN-fw/v6.1.2/XM.v6.1.2.31825.171017.1648.bin
others,picom2hp,31612,3/27/17,https://www.ui.com/downloads/firmwares/XN-fw/v5.6.15/XM.v5.6.15.30572.170328.1107.bin
