vendor,product,version,date,url
ubiquiti,uap-ac-m-pro,unknown,1/12/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.80.10875/BZ.qca956x.v4.0.80.10875.200111.2335.bin
ubiquiti,uap-ac-m-pro,unknown,12/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.24.11355/BZ.qca956x.v4.3.24.11355.201207.1717.bin
ubiquiti,uap-ac-m-pro,unknown,5/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.13.11253/BZ.qca956x.v4.3.13.11253.200430.1420.bin
ubiquiti,uap-ac-m-pro,unknown,9/23/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.21.11325/BZ.qca956x.v4.3.21.11325.200922.1139.bin
ubiquiti,uap-ac-m-pro,unknown,2/10/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.28.11361/BZ.qca956x.v4.3.28.11361.210128.2309.bin
ubiquiti,uap-ac-m-pro,unknown,8/26/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.43.12741/BZ.qca956x_5.43.43+12741.210818.2135.bin
ubiquiti,uap-ac-m-pro,unknown,10/7/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.46.12754/BZ.qca956x_5.43.46+12754.210928.2142.bin
ubiquiti,uap-ac-m-pro,unknown,11/18/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.52.12774/BZ.qca956x_5.43.52+12774.211113.0641.bin
ubiquiti,uap-ac-m-pro,unknown,11/10/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.51.12773/BZ.qca956x_5.43.51+12773.211104.2318.bin
ubiquiti,uap-ac-m-pro,unknown,7/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.20.11298/BZ.qca956x.v4.3.20.11298.200704.1347.bin
ubiquiti,uap-ac-m-pro,unknown,11/11/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.69.10871/BZ.qca956x.v4.0.69.10871.191109.0533.bin
ubiquiti,uap-ac-m-pro,unknown,10/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.3.7537/BZ.qca956x.v3.9.3.7537.171013.1101.bin
ubiquiti,uap-ac-m-pro,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.19.8123/BZ.qca956x.v3.9.19.8123.180104.1452.bin
ubiquiti,uap-ac-m-pro,unknown,8/3/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.6.6650/BZ.qca956x.v3.8.6.6650.170712.2141.bin
ubiquiti,uap-ac-m-pro,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.3.6587/BZ.qca956x.v3.8.3.6587.170609.0803.bin
ubiquiti,uap-ac-m-pro,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.7.58.6385/BZ.qca956x.v3.7.58.6385.170508.0957.bin
ubiquiti,uap-ac-m-pro,unknown,8/2/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.54.10625/BZ.qca956x.v4.0.54.10625.190801.1544.bin
ubiquiti,uap-ac-m-pro,unknown,10/24/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.66.10832/BZ.qca956x.v4.0.66.10832.191023.1949.bin
ubiquiti,uap-ac-m-pro,unknown,12/11/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.15.8011/BZ.qca956x.v3.9.15.8011.171208.1718.bin
ubiquiti,uap-ac-m-pro,unknown,5/18/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.42.10433/BZ.qca956x.v4.0.42.10433.190518.0923.bin
ubiquiti,uap-ac-m-pro,unknown,2/4/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.21.9965/BZ.qca956x.v4.0.21.9965.190125.1623.bin
ubiquiti,uap-ac-m-pro,unknown,1/2/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.15.9872/BZ.qca956x.v4.0.15.9872.181229.0258.bin
ubiquiti,uap-ac-m-pro,unknown,11/30/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.9.9636/BZ.qca956x.v4.0.9.9636.181128.2214.bin
ubiquiti,uap-ac-m-pro,unknown,7/16/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.42.9152/BZ.qca956x.v3.9.42.9152.180709.2255.bin
ubiquiti,uap-ac-m-pro,unknown,3/20/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.27.8537/BZ.qca956x.v3.9.27.8537.180317.1235.bin
ubiquiti,uap-ac-m-pro,unknown,2/16/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.21.8191/BZ.qca956x.v3.9.21.8191.180119.2353.bin
others,uap-ac-m-pro,unknown,9/20/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.14.6780/BZ.qca956x.v3.8.14.6780.170915.2223.bin
others,uap-ac-m-pro,unknown,9/27/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.54.9373/BZ.qca956x.v3.9.54.9373.180914.0009.bin
others,uap-ac-m-pro,unknown,12/27/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.14.9736/BZ.qca956x.v4.0.14.9736.181224.1723.bin
others,uap-ac-m-pro,unknown,12/7/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.10.9653/BZ.qca956x.v4.0.10.9653.181205.1309.bin
