vendor,product,version,date,url
ubiquiti,uap-ac-m,unknown,10/7/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.46.12754/BZ.qca956x_5.43.46+12754.210928.2142.bin
ubiquiti,uap-ac-m,unknown,1/12/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.80.10875/BZ.qca956x.v4.0.80.10875.200111.2335.bin
ubiquiti,uap-ac-m,unknown,12/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.24.11355/BZ.qca956x.v4.3.24.11355.201207.1717.bin
ubiquiti,uap-ac-m,unknown,5/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.13.11253/BZ.qca956x.v4.3.13.11253.200430.1420.bin
ubiquiti,uap-ac-m,unknown,9/23/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.21.11325/BZ.qca956x.v4.3.21.11325.200922.1139.bin
ubiquiti,uap-ac-m,unknown,2/10/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.28.11361/BZ.qca956x.v4.3.28.11361.210128.2309.bin
ubiquiti,uap-ac-m,unknown,8/26/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.43.12741/BZ.qca956x_5.43.43+12741.210818.2135.bin
ubiquiti,uap-ac-m,unknown,11/18/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.52.12774/BZ.qca956x_5.43.52+12774.211113.0641.bin
ubiquiti,uap-ac-m,unknown,11/10/21,https://www.ui.com/downloads/unifi/firmware/U7PG2/5.43.51.12773/BZ.qca956x_5.43.51+12773.211104.2318.bin
ubiquiti,uap-ac-m,unknown,7/7/20,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.3.20.11298/BZ.qca956x.v4.3.20.11298.200704.1347.bin
ubiquiti,uap-ac-m,unknown,11/11/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.69.10871/BZ.qca956x.v4.0.69.10871.191109.0533.bin
ubiquiti,uap-ac-m,unknown,8/2/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.54.10625/BZ.qca956x.v4.0.54.10625.190801.1544.bin
ubiquiti,uap-ac-m,unknown,10/24/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.66.10832/BZ.qca956x.v4.0.66.10832.191023.1949.bin
others,uap-ac-m,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.7.58.6385/BZ.qca956x.v3.7.58.6385.170508.0957.bin
others,uap-ac-m,unknown,10/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.3.7537/BZ.qca956x.v3.9.3.7537.171013.1101.bin
others,uap-ac-m,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.19.8123/BZ.qca956x.v3.9.19.8123.180104.1452.bin
others,uap-ac-m,unknown,8/3/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.6.6650/BZ.qca956x.v3.8.6.6650.170712.2141.bin
others,uap-ac-m,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.3.6587/BZ.qca956x.v3.8.3.6587.170609.0803.bin
