vendor,product,version,date,url
others,uap-ac-pro,unknown,11/30/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.9.9636/BZ.qca956x.v4.0.9.9636.181128.2214.bin
others,uap-ac-pro,unknown,9/27/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.54.9373/BZ.qca956x.v3.9.54.9373.180914.0009.bin
others,uap-ac-pro,unknown,7/16/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.42.9152/BZ.qca956x.v3.9.42.9152.180709.2255.bin
others,uap-ac-pro,unknown,3/20/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.27.8537/BZ.qca956x.v3.9.27.8537.180317.1235.bin
others,uap-ac-pro,unknown,2/16/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.21.8191/BZ.qca956x.v3.9.21.8191.180119.2353.bin
others,uap-ac-pro,unknown,12/11/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.15.8011/BZ.qca956x.v3.9.15.8011.171208.1718.bin
others,uap-ac-pro,unknown,9/20/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.14.6780/BZ.qca956x.v3.8.14.6780.170915.2223.bin
others,uap-ac-pro,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.7.58.6385/BZ.qca956x.v3.7.58.6385.170508.0957.bin
others,uap-ac-pro,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.3.6587/BZ.qca956x.v3.8.3.6587.170609.0803.bin
others,uap-ac-pro,unknown,8/3/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.8.6.6650/BZ.qca956x.v3.8.6.6650.170712.2141.bin
others,uap-ac-pro,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.19.8123/BZ.qca956x.v3.9.19.8123.180104.1452.bin
others,uap-ac-pro,unknown,12/27/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.14.9736/BZ.qca956x.v4.0.14.9736.181224.1723.bin
others,uap-ac-pro,unknown,12/7/18,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.10.9653/BZ.qca956x.v4.0.10.9653.181205.1309.bin
others,uap-ac-pro,unknown,1/2/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.15.9872/BZ.qca956x.v4.0.15.9872.181229.0258.bin
others,uap-ac-pro,unknown,2/4/19,https://www.ui.com/downloads/unifi/firmware/U7PG2/4.0.21.9965/BZ.qca956x.v4.0.21.9965.190125.1623.bin
others,uap-ac-pro,unknown,10/16/17,https://www.ui.com/downloads/unifi/firmware/U7PG2/3.9.3.7537/BZ.qca956x.v3.9.3.7537.171013.1101.bin
