vendor,product,version,date,url
ubiquiti,uap-outdoor,unknown,5/7/20,https://www.ui.com/downloads/unifi/firmware/BZ2/4.3.13.11253/BZ.ar7240.v4.3.13.11253.200430.1420.bin
ubiquiti,uap-outdoor,unknown,8/2/19,https://www.ui.com/downloads/unifi/firmware/BZ2/4.0.54.10625/BZ.ar7240.v4.0.54.10625.190801.1544.bin
ubiquiti,uap-outdoor,unknown,10/24/19,https://www.ui.com/downloads/unifi/firmware/BZ2/4.0.66.10832/BZ.ar7240.v4.0.66.10832.191023.1948.bin
ubiquiti,uap-outdoor,unknown,9/23/20,https://www.ui.com/downloads/unifi/firmware/BZ2/4.3.21.11325/BZ.ar7240.v4.3.21.11325.200922.1739.bin
ubiquiti,uap-outdoor,unknown,1/12/20,https://www.ui.com/downloads/unifi/firmware/BZ2/4.0.80.10875/BZ.ar7240.v4.0.80.10875.200111.2335.bin
ubiquiti,uap-outdoor,unknown,7/7/20,https://www.ui.com/downloads/unifi/firmware/BZ2/4.3.20.11298/BZ.ar7240.v4.3.20.11298.200704.0747.bin
ubiquiti,uap-outdoor,unknown,11/11/19,https://www.ui.com/downloads/unifi/firmware/BZ2/4.0.69.10871/BZ.ar7240.v4.0.69.10871.191109.0532.bin
ubiquiti,uap-outdoor,unknown,12/7/20,https://www.ui.com/downloads/unifi/firmware/BZ2/4.3.24.11355/BZ.ar7240.v4.3.24.11355.201207.1019.bin
ubiquiti,uap-outdoor,unknown,2/10/21,https://www.ui.com/downloads/unifi/firmware/BZ2/4.3.28.11361/BZ.ar7240.v4.3.28.11361.210128.2309.bin
others,uap-outdoor,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/BZ2/3.9.19.8123/BZ.ar7240.v3.9.19.8123.180104.1438.bin
others,uap-outdoor,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/BZ2/3.7.58.6385/BZ.ar7240.v3.7.58.6385.170508.0942.bin
others,uap-outdoor,unknown,3/20/18,https://www.ui.com/downloads/unifi/firmware/BZ2/3.9.27.8537/BZ.ar7240.v3.9.27.8537.180317.1223.bin
others,uap-outdoor,unknown,9/27/18,https://www.ui.com/downloads/unifi/firmware/BZ2/3.9.54.9373/BZ.ar7240.v3.9.54.9373.180913.2356.bin
others,uap-outdoor,unknown,11/30/18,https://www.ui.com/downloads/unifi/firmware/BZ2/4.0.9.9636/BZ.ar7240.v4.0.9.9636.181128.2215.bin
others,uap-outdoor,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/BZ2/3.8.3.6587/BZ.ar7240.v3.8.3.6587.170609.0748.bin
