vendor,product,version,date,url
ubiquiti,uaphd,unknown,5/15/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.7.58.6385/BZ.ipq806x.v3.7.58.6385.170508.0956.bin
others,uaphd,unknown,5/18/19,https://www.ui.com/downloads/unifi/firmware/U7HD/4.0.42.10433/BZ.ipq806x.v4.0.42.10433.190518.0923.bin
others,uaphd,unknown,2/4/19,https://www.ui.com/downloads/unifi/firmware/U7HD/4.0.21.9965/BZ.ipq806x.v4.0.21.9965.190125.1623.bin
others,uaphd,unknown,1/2/19,https://www.ui.com/downloads/unifi/firmware/U7HD/4.0.15.9872/BZ.ipq806x.v4.0.15.9872.181229.0258.bin
others,uaphd,unknown,12/27/18,https://www.ui.com/downloads/unifi/firmware/U7HD/4.0.14.9736/BZ.ipq806x.v4.0.14.9736.181224.1723.bin
others,uaphd,unknown,12/7/18,https://www.ui.com/downloads/unifi/firmware/U7HD/4.0.10.9653/BZ.ipq806x.v4.0.10.9653.181205.1309.bin
others,uaphd,unknown,9/27/18,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.54.9373/BZ.ipq806x.v3.9.54.9373.180914.0028.bin
others,uaphd,unknown,7/16/18,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.42.9152/BZ.ipq806x.v3.9.42.9152.180709.2243.bin
others,uaphd,unknown,3/20/18,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.27.8537/BZ.ipq806x.v3.9.27.8537.180317.1223.bin
others,uaphd,unknown,12/11/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.15.8011/BZ.ipq806x.v3.9.15.8011.171208.1713.bin
others,uaphd,unknown,6/16/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.8.3.6587/BZ.ipq806x.v3.8.3.6587.170609.0759.bin
others,uaphd,unknown,8/18/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.8.10.7161/BZ.ipq806x.v3.8.10.7161.170816.1802.bin
others,uaphd,unknown,8/3/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.8.6.6650/BZ.ipq806x.v3.8.6.6650.170712.2143.bin
others,uaphd,unknown,1/7/18,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.19.8123/BZ.ipq806x.v3.9.19.8123.180104.1447.bin
others,uaphd,unknown,10/16/17,https://www.ui.com/downloads/unifi/firmware/U7HD/3.9.3.7537/BZ.ipq806x.v3.9.3.7537.171013.1055.bin
