vendor,product,version,date,url
ubiquiti,uc-ck,unknown,11/7/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.6.c289a3c.191031.0856.bin
ubiquiti,uc-ck,unknown,4/6/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.10.62d69a2.200326.0316.bin
ubiquiti,uc-ck,unknown,7/9/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.0.9.92d728e.190709.1614.bin
ubiquiti,uc-ck,unknown,4/6/21,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.19.f4a17b0.210204.0232.bin
ubiquiti,uc-ck,unknown,8/12/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.0.11.7df68cf.190809.2115.bin
ubiquiti,uc-ck,unknown,8/26/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.0.aa44aee.190826.2323.bin
ubiquiti,uc-ck,unknown,4/24/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.11.29d1234.200416.0923.bin
ubiquiti,uc-ck,unknown,6/23/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.1.13.818cc5f.200430.0950.bin
ubiquiti,uc-ck,unknown,6/17/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.0.6.feaba2c.190614.1553.bin
ubiquiti,uc-ck,unknown,5/28/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v1.0.3.751d60d.190524.1825.bin
others,uc-ck,unknown,3/20/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.6.1.fbff5c0.170317.1109.bin
others,uc-ck,unknown,12/11/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.8.7.4158d32.171130.1346.bin
others,uc-ck,unknown,2/8/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.8.10.b829a2d.180126.1247.bin
others,uc-ck,unknown,9/30/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.7.4.f1a80c8.170926.1203.bin
others,uc-ck,unknown,4/11/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.6.2.ac19382.170331.1138.bin
others,uc-ck,unknown,3/14/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.10.0.cc913ee.180306.1543.bin
others,uc-ck,unknown,4/12/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.10.1.417b59e.180403.1128.bin
others,uc-ck,unknown,7/2/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.11.4.a7e4cad.180629.1434.bin
others,uc-ck,unknown,8/21/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.11.10.ab8d5ec.180818.1118.bin
others,uc-ck,unknown,9/13/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.11.12.650c948.180907.1648.bin
others,uc-ck,unknown,10/4/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.12.0.29a26c9.181001.1444.bin
others,uc-ck,unknown,1/24/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.12.4.99ad9db.190118.1139.bin
others,uc-ck,unknown,2/8/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.13.2.3b3276a.190131.0959.bin
others,uc-ck,unknown,3/4/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.13.7.513aa39.190304.1215.bin
others,uc-ck,unknown,3/12/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.13.8.b58b730.190307.1529.bin
others,uc-ck,unknown,4/8/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.13.10.e171d89.190327.1752.bin
others,uc-ck,unknown,7/31/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.7.3.5d239c6.170728.1449.bin
others,uc-ck,unknown,1/10/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.8.9.d9dda97.180108.1229.bin
others,uc-ck,unknown,6/26/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.6.9.50d7aef.170531.1723.bin
others,uc-ck,unknown,5/2/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.6.4.5f977c5.170420.2106.bin
others,uc-ck,unknown,7/18/17,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCK/UCK.mtk7623.v0.6.10.1c9532b.170717.1913.bin
