vendor,product,version,date,url
ubiquiti,uck-g2-plus,unknown,8/26/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.1.0.aa44aee.190826.2316.bin
ubiquiti,uck-g2-plus,unknown,6/22/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.1.13.818cc5f.200430.0949.bin
ubiquiti,uck-g2-plus,unknown,8/12/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.0.11.7df68cf.190809.2113.bin
ubiquiti,uck-g2-plus,unknown,4/24/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.1.11.29d1234.200416.0921.bin
ubiquiti,uck-g2-plus,unknown,4/6/20,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.1.10.62d69a2.200326.0315.bin
ubiquiti,uck-g2-plus,unknown,7/9/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.0.9.92d728e.190709.1609.bin
ubiquiti,uck-g2-plus,unknown,11/7/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.1.6.c289a3c.191031.0851.bin
ubiquiti,uck-g2-plus,unknown,10/18/21,https://fw-download.ubnt.com/data/unifi-cloudkey/1546-UCKP-2.2.10-a24a1bcc3d52450b8e97fe05bec6a332.bin
ubiquiti,uck-g2-plus,unknown,1/29/21,https://fw-download.ubnt.com/data/unifi-cloudkey/7c9f-UCKP-2.0.27-8ed87b6e26804764875457f8f62da1cf.bin
ubiquiti,uck-g2-plus,unknown,1/21/21,https://fw-download.ubnt.com/data/unifi-cloudkey/20ef-UCKP-2.0.26-46b706f0b3e94cb2a178be3a00756648.bin
ubiquiti,uck-g2-plus,unknown,12/17/20,https://fw-download.ubnt.com/data/unifi-cloudkey/1e1e-UCKP-2.0.24-567c9e3a53a2449db186ba14af0abf0d.bin
ubiquiti,uck-g2-plus,unknown,5/19/21,https://fw-download.ubnt.com/data/unifi-cloudkey/18ce-UCKP-2.1.11-cd332a59cf054d5fbf22837350fc84ac.bin
ubiquiti,uck-g2-plus,unknown,11/1/21,https://fw-download.ubnt.com/data/unifi-cloudkey/0ea6-UCKP-2.2.12-4babfa9dd5b445c29ef5f269796a2bec.bin
ubiquiti,uck-g2-plus,unknown,5/28/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.0.3.751d60d.190524.1809.bin
ubiquiti,uck-g2-plus,unknown,6/17/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v1.0.6.feaba2c.190614.1542.bin
others,uck-g2-plus,unknown,3/4/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.9.7.ee9a5fc.190304.1202.bin
others,uck-g2-plus,unknown,3/12/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.9.8.6355eb6.190307.1515.bin
others,uck-g2-plus,unknown,4/10/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.9.11.24e7935.190409.2343.bin
others,uck-g2-plus,unknown,2/8/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.9.2.d139d6d.190131.1023.bin
others,uck-g2-plus,unknown,1/24/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.8.12.f260dd3.190118.1203.bin
others,uck-g2-plus,unknown,1/14/19,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.8.10.d06f941.190103.0828.bin
others,uck-g2-plus,unknown,12/14/18,https://www.ui.com/downloads/unifi/cloudkey/firmware/UCKP/UCKP.apq8053.v0.8.7.046381a.181102.0914.bin
