vendor,product,version,date,url
ubiquiti,us-l2-24-poe,unknown,7/7/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.3.20.11298/US2.bcm5334x.v4.3.20.11298.200704.0749.bin
ubiquiti,us-l2-24-poe,unknown,1/21/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.43.23.12533/US2.bcm5334x_5.43.23+12533.201223.0319.bin
ubiquiti,us-l2-24-poe,unknown,12/2/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.43.18.12487/US2.bcm5334x_5.43.18+12487.201130.1603.bin
ubiquiti,us-l2-24-poe,unknown,9/23/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.3.21.11325/US2.bcm5334x.v4.3.21.11325.200922.1739.bin
ubiquiti,us-l2-24-poe,unknown,5/7/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.3.13.11253/US2.bcm5334x.v4.3.13.11253.200430.1420.bin
ubiquiti,us-l2-24-poe,unknown,1/12/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.80.10875/US2.bcm5334x.v4.0.80.10875.200111.2335.bin
ubiquiti,us-l2-24-poe,unknown,11/11/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.69.10871/US2.bcm5334x.v4.0.69.10871.191109.0536.bin
ubiquiti,us-l2-24-poe,unknown,10/24/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.66.10832/US2.bcm5334x.v4.0.66.10832.191023.1949.bin
ubiquiti,us-l2-24-poe,unknown,8/2/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.54.10625/US2.bcm5334x.v4.0.54.10625.190801.1545.bin
ubiquiti,us-l2-24-poe,unknown,7/15/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.64.8.13083/US2.bcm5334x_5.64.8+13083.210706.1043.bin
ubiquiti,us-l2-24-poe,unknown,5/4/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.43.36.12724/US2.bcm5334x_5.43.36+12724.210416.1609.bin
ubiquiti,us-l2-24-poe,unknown,11/11/20,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.3.22.11330/US2.bcm5334x.v4.3.22.11330.201103.0742.bin
ubiquiti,us-l2-24-poe,unknown,4/7/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.43.35.12698/US2.bcm5334x_5.43.35+12698.210326.0451.bin
ubiquiti,us-l2-24-poe,unknown,11/18/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.76.7.13442/US2.bcm5334x_5.76.7+13442.211117.0720.bin
ubiquiti,us-l2-24-poe,unknown,11/5/21,https://www.ui.com/downloads/unifi/firmware/US24PL2/5.76.6.13439/US2.bcm5334x_5.76.6+13439.211029.1038.bin
ubiquiti,us-l2-24-poe,unknown,5/18/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.42.10433/US2.bcm5334x.v4.0.42.10433.190518.0924.bin
ubiquiti,us-l2-24-poe,unknown,2/4/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.21.9965/US2.bcm5334x.v4.0.21.9965.190125.1623.bin
ubiquiti,us-l2-24-poe,unknown,1/2/19,https://www.ui.com/downloads/unifi/firmware/US24PL2/4.0.15.9872/US2.bcm5334x.v4.0.15.9872.181229.0259.bin
