vendor,product,version,date,url
ubiquiti,uvc-micro,unknown,3/10/20,https://www.ui.com/downloads/firmwares/uvc/v4.18.37/uvc.a5s.v4.18.37.bin
ubiquiti,uvc-micro,unknown,7/7/20,https://www.ui.com/downloads/firmwares/uvc/v4.23.8/uvc.a5s.v4.23.8.bin
ubiquiti,uvc-micro,unknown,9/26/19,https://www.ui.com/downloads/firmwares/uvc/v4.14.14/uvc.a5s.v4.14.14.bin
ubiquiti,uvc-micro,unknown,5/19/20,https://www.ui.com/downloads/firmwares/uvc/v4.22.13/uvc.a5s.v4.22.13.bin
others,uvc-micro,unknown,1/4/18,https://www.ui.com/downloads/firmwares/uvc/v4.1.55/uvc.a5s.v4.1.55.bin
others,uvc-micro,unknown,2/22/18,https://www.ui.com/downloads//firmwares/uvc/v4.2.13/uvc.a5s.v4.2.13.bin
others,uvc-micro,unknown,5/17/17,https://www.ui.com/downloads/firmwares/uvc-fw/3.7.0/UVC.gen2.v3.7.0.68.79d0469.170517.1832.bin
others,uvc-micro,unknown,10/17/17,https://www.ui.com/downloads/firmwares/uvc/v3.8.61/uvc.gen2.v3.8.61.bin
others,uvc-micro,unknown,3/4/16,https://www.ui.com/downloads/firmwares/uvc-fw/3.1.4/UVC.gen2.v3.1.4.39.7e42364.160301.0242.bin
others,uvc-micro,unknown,11/28/16,https://www.ui.com/downloads/firmwares/uvc-fw/3.5.2/UVC.gen2.v3.5.2.63.5d0239d.161121.1655.bin
others,uvc-micro,unknown,9/25/18,https://www.ui.com/downloads/firmwares/uvc/v4.4.8/uvc.a5s.v4.4.8.bin
others,uvc-micro,unknown,4/1/19,https://www.ui.com/downloads/firmwares/uvc/v4.10.12/uvc.a5s.v4.10.12.bin
others,uvc-micro,unknown,2/12/19,https://www.ui.com/downloads/firmwares/uvc/v4.8.40/uvc.a5s.v4.8.40.bin
others,uvc-micro,unknown,5/29/19,https://www.ui.com/downloads/firmwares/uvc/v4.13.33/uvc.a5s.v4.13.33.bin
others,uvc-micro,unknown,6/12/19,https://www.ui.com/downloads/firmwares/uvc/v4.13.40/uvc.a5s.v4.13.40.bin
