vendor,product,version,date,url
others,uvc,unknown,9/18/17,https://www.ui.com/downloads/firmwares/uvc/v3.8.3/uvc.gen2.v3.8.3.bin
others,uvc,unknown,1/4/18,https://www.ui.com/downloads/firmwares/uvc/v4.1.55/uvc.a5s.v4.1.55.bin
others,uvc,unknown,2/12/19,https://www.ui.com/downloads/firmwares/uvc/v4.8.40/uvc.a5s.v4.8.40.bin
others,uvc,unknown,4/1/19,https://www.ui.com/downloads/firmwares/uvc/v4.10.12/uvc.a5s.v4.10.12.bin
others,uvc,unknown,6/12/19,https://www.ui.com/downloads/firmwares/uvc/v4.13.40/uvc.a5s.v4.13.40.bin
others,uvc,unknown,2/22/18,https://www.ui.com/downloads//firmwares/uvc/v4.2.13/uvc.a5s.v4.2.13.bin
others,uvc,unknown,4/17/18,https://www.ui.com/downloads//firmwares/uvc/v4.2.59/uvc.a5s.v4.2.59.bin
others,uvc,unknown,3/4/16,https://www.ui.com/downloads/firmwares/uvc-fw/3.1.4/UVC.gen2.v3.1.4.39.7e42364.160301.0242.bin
others,uvc,unknown,11/28/16,https://www.ui.com/downloads/firmwares/uvc-fw/3.5.2/UVC.gen2.v3.5.2.63.5d0239d.161121.1655.bin
others,uvc,unknown,10/17/17,https://www.ui.com/downloads/firmwares/uvc/v3.8.61/uvc.gen2.v3.8.61.bin
